loss,learn_steps,num_params,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.23057076,50,7023,1719681445,checkpoint_000000,True,False,1,7bc41a5d,2024-06-29_19-17-25,119.48736023902893,119.48736023902893,508032,lsrosaDiag,10.10.158.167,119.48736023902893,1
0.19492957,100,7023,1719681563,checkpoint_000001,True,False,2,7bc41a5d,2024-06-29_19-19-23,117.76713013648987,237.2544903755188,508032,lsrosaDiag,10.10.158.167,237.2544903755188,2
0.18160284,150,7023,1719681680,checkpoint_000002,True,False,3,7bc41a5d,2024-06-29_19-21-20,117.51595401763916,354.77044439315796,508032,lsrosaDiag,10.10.158.167,354.77044439315796,3
0.1763597,200,7023,1719681798,checkpoint_000003,True,False,4,7bc41a5d,2024-06-29_19-23-18,117.51708436012268,472.28752875328064,508032,lsrosaDiag,10.10.158.167,472.28752875328064,4
0.17125121,250,7023,1719681917,checkpoint_000004,True,False,5,7bc41a5d,2024-06-29_19-25-17,118.71163487434387,590.9991636276245,508032,lsrosaDiag,10.10.158.167,590.9991636276245,5
0.1669334,300,7023,1719682032,checkpoint_000005,True,False,6,7bc41a5d,2024-06-29_19-27-12,115.02068185806274,706.0198454856873,508032,lsrosaDiag,10.10.158.167,706.0198454856873,6
0.16511746,350,7023,1719682150,checkpoint_000006,True,False,7,7bc41a5d,2024-06-29_19-29-10,118.41745352745056,824.4372990131378,508032,lsrosaDiag,10.10.158.167,824.4372990131378,7
0.16244867,400,7023,1719682268,checkpoint_000007,True,False,8,7bc41a5d,2024-06-29_19-31-08,117.73729729652405,942.1745963096619,508032,lsrosaDiag,10.10.158.167,942.1745963096619,8
0.16094632,450,7023,1719682386,checkpoint_000008,True,False,9,7bc41a5d,2024-06-29_19-33-06,117.84888482093811,1060.0234811306,508032,lsrosaDiag,10.10.158.167,1060.0234811306,9
0.15816881,500,7023,1719682503,checkpoint_000009,True,False,10,7bc41a5d,2024-06-29_19-35-03,117.7613263130188,1177.7848074436188,508032,lsrosaDiag,10.10.158.167,1177.7848074436188,10
0.15682486,550,7023,1719682624,checkpoint_000010,True,False,11,7bc41a5d,2024-06-29_19-37-04,120.47834706306458,1298.2631545066833,508032,lsrosaDiag,10.10.158.167,1298.2631545066833,11
0.15775551,600,7023,1719682739,checkpoint_000011,True,False,12,7bc41a5d,2024-06-29_19-38-59,115.44205141067505,1413.7052059173584,508032,lsrosaDiag,10.10.158.167,1413.7052059173584,12
0.15685442,650,7023,1719682856,checkpoint_000012,True,False,13,7bc41a5d,2024-06-29_19-40-56,117.04491329193115,1530.7501192092896,508032,lsrosaDiag,10.10.158.167,1530.7501192092896,13
0.1556386,700,7023,1719682976,checkpoint_000013,True,False,14,7bc41a5d,2024-06-29_19-42-56,119.90073609352112,1650.6508553028107,508032,lsrosaDiag,10.10.158.167,1650.6508553028107,14
0.15359724,750,7023,1719683092,checkpoint_000014,True,False,15,7bc41a5d,2024-06-29_19-44-52,116.20848345756531,1766.859338760376,508032,lsrosaDiag,10.10.158.167,1766.859338760376,15
0.15126058,800,7023,1719683210,checkpoint_000015,True,False,16,7bc41a5d,2024-06-29_19-46-50,117.54931855201721,1884.4086573123932,508032,lsrosaDiag,10.10.158.167,1884.4086573123932,16
0.1524921,850,7023,1719683326,checkpoint_000016,True,False,17,7bc41a5d,2024-06-29_19-48-46,116.11979055404663,2000.5284478664398,508032,lsrosaDiag,10.10.158.167,2000.5284478664398,17
0.1493366,900,7023,1719683446,checkpoint_000017,True,False,18,7bc41a5d,2024-06-29_19-50-46,120.15257048606873,2120.6810183525085,508032,lsrosaDiag,10.10.158.167,2120.6810183525085,18
0.1507153,950,7023,1719683562,checkpoint_000018,True,False,19,7bc41a5d,2024-06-29_19-52-42,116.06607341766357,2236.747091770172,508032,lsrosaDiag,10.10.158.167,2236.747091770172,19
0.14864862,1000,7023,1719683682,checkpoint_000019,True,False,20,7bc41a5d,2024-06-29_19-54-42,119.66077852249146,2356.4078702926636,508032,lsrosaDiag,10.10.158.167,2356.4078702926636,20
0.14838156,1050,7023,1719683798,checkpoint_000020,True,False,21,7bc41a5d,2024-06-29_19-56-38,115.60963487625122,2472.017505168915,508032,lsrosaDiag,10.10.158.167,2472.017505168915,21
0.14743544,1100,7023,1719683917,checkpoint_000021,True,False,22,7bc41a5d,2024-06-29_19-58-37,119.61947536468506,2591.6369805336,508032,lsrosaDiag,10.10.158.167,2591.6369805336,22
0.14760281,1150,7023,1719684036,checkpoint_000022,True,False,23,7bc41a5d,2024-06-29_20-00-36,118.4073338508606,2710.0443143844604,508032,lsrosaDiag,10.10.158.167,2710.0443143844604,23
